,bitcoin,ethereum,tether,binancecoin,ripple,usd-coin,solana,tron,staked-ether,dogecoin
2025-01-29 17:00:00,2021068311583.9038,371686871445.16547,139435256049.77148,96754196189.36278,175199108779.207,52567379337.9957,110594719240.17685,20492392416.546303,29286053608.560474,47807349681.52981
2025-01-29 18:00:00,2031853565920.8164,375884853393.6044,139451733075.70233,97127969559.89084,175391527885.05774,52539938683.98645,111953983270.49779,20616925836.845436,29531405952.058685,48114274925.52142
2025-01-29 19:00:00,2039464666407.616,376765071840.8465,139450351145.19498,97469209796.84407,176323718591.59012,52542053745.88736,112231202393.30647,20654104955.531197,29594889970.982117,48357594466.53846
2025-01-29 20:00:00,2053628972752.0974,377481208824.9995,139438738157.96494,97398891664.75139,177629537364.64755,52543894099.27453,113385601853.72604,20770077617.29986,29678191234.662945,48602956457.623024
2025-01-29 21:00:00,2067678208022.7075,378734159080.9939,139469723193.016,98016779075.63188,178704113074.69733,52558867846.34902,114214546831.03488,20818204287.0308,29720774193.778393,48859300768.547874
2025-01-29 22:00:00,2056341600987.3433,378488635414.7276,139463353562.95108,97889440869.90402,178253427459.12134,52626705548.75128,114503076297.51685,20806902830.52356,29759017999.398235,48771651732.67019
2025-01-29 23:00:00,2052239710988.8335,377977294246.42664,139465773515.29385,97976993088.90134,177667495022.79147,52545201659.50454,113112376033.51614,20781477908.10532,29802670920.199966,48508164919.0375
2025-01-30 00:00:00,2055327189251.6147,375095679167.8963,139467190216.12622,97407793318.32446,176890456391.25037,52543271655.8567,111223061277.93585,20677269477.79676,29542240972.560318,47944456453.0683
2025-01-30 01:00:00,2062119925253.944,376365320567.09143,139400559643.9202,98008334394.81958,177610710312.30927,52549672823.362724,112442803139.46133,20736410359.126606,29633116575.356876,48247230355.43724
2025-01-30 02:00:00,2063043172067.156,377608248798.012,139397341266.3516,98063263178.07765,178459089362.7243,52592860972.56118,113882911934.07724,20839408593.273415,29704157980.463364,48557711521.48637
2025-01-30 03:00:00,2069948465141.5525,379429288395.5812,139396284739.22507,98185686756.76518,178993487595.1413,52592795008.1466,115352268856.81749,20907164401.805542,29855740770.433765,48846733406.38166
2025-01-30 04:00:00,2083169713824.325,384779291175.0089,139397489505.9954,98582083297.56499,179758019998.2374,52592401470.23989,116752521372.47728,21137808683.510555,30197490489.256226,49160624891.196846
2025-01-30 05:00:00,2085122380968.819,384976143224.7635,139404616966.08554,98911427466.38092,180085756333.23096,52613126392.24559,117276410574.84583,21231155345.61495,30318290864.51281,49231232245.73823
2025-01-30 06:00:00,2082954919033.1184,384168469915.0885,139406470573.34238,98686825312.65779,179508775873.4589,52617549351.68068,116546090186.51881,21110875869.280975,30217656407.957127,48988964062.305466
2025-01-30 07:00:00,2084171059413.8213,384075038098.03485,139410231564.07947,98863185530.02344,179783347528.86133,52637489780.13489,116219569228.77486,21203597252.261658,30248195602.428455,48962059461.69518
2025-01-30 08:00:00,2082945764739.2288,384449379655.6213,139395597272.92914,98749636554.86543,179229587005.9701,52634570284.20088,115986681286.11382,21183318184.79144,30275996337.745502,48901342233.504906
2025-01-30 09:00:00,2083052064245.2876,385712011090.40265,139401418825.42108,98803276524.28072,178721565439.1711,52639308484.377975,116597643430.94244,21209291410.87497,30340949396.30283,48900933483.13076
