,0
0,1657661687.748691
1,2452602587.535461
2,2232194946.214661
3,1654153992.0765872
4,975422637.4608953
5,1384242904.8274689
6,1373933237.6304483
7,820056449.7358065
8,63224278.86020661
9,2407539786.4446406
10,3603157797.756654
11,3119434965.9937754
12,1288429825.386265
13,1978091405.8676994
14,6283005309.500532
15,7465352699.959803
16,4639278884.934452
17,4831472516.903658
18,6462657312.824707
19,4726109398.183197
20,1331663925.5148356
21,988683324.6409335
22,671940561.5467855
23,383595282.9328156
24,1099961226.3500705
25,2021776503.2121117
26,1820050425.1098778
27,1857506206.645905
28,4069939887.293274
29,6621106297.445804
30,8364863140.102784
31,10125416540.186035
32,13429591814.320864
33,14724492587.428902
34,16288215124.428232
35,18314029841.093487
36,19675030829.52944
37,23052905039.49196
38,22098950848.798714
39,20672457715.663208
40,17146160417.198057
41,17349686567.63403
42,13260798531.47957
43,12329286117.547182
44,11749997800.861935
45,11329638866.775633
46,11382382955.12939
47,14564023827.213005
48,16461112013.926413
49,13089473084.864183
50,9861599445.606462
51,8373541398.298157
52,7767261665.896889
53,9552993858.278946
54,10561769167.75055
55,12615195613.318253
56,13423212403.531874
57,12614476651.697405
58,13087755342.857496
59,13087255433.185621
60,13406759171.863281
61,15360942146.224611
62,15090482292.410637
63,13246340430.214314
64,13197273785.270645
65,15741171499.68111
66,15381466415.3598
67,14367728148.324436
68,14673130662.91884
69,17255286847.99414
70,14564304180.925053
71,12240066752.21664
72,15756573889.107796
73,14456910532.660433
74,13203420889.199823
75,12321690060.671934
76,16954983422.998919
77,13991304299.851376
78,9763996435.889357
79,12853196227.128555
80,9711592598.872314
81,7678058088.011777
82,6937673525.916504
83,7457355389.559141
84,4682269893.924578
85,2855079944.9870906
86,2380635391.4780607
87,2667688659.4065094
88,1744915864.241821
89,1124380523.1684
90,1238992147.7997305
91,1422362573.3058646
92,855547552.6431617
93,220810214.9710471
94,896236599.4211578
95,3676426120.886172
96,3217655349.2124634
97,1358581855.479951
98,1200435310.023995
99,5370684034.056837
100,6592016481.829727
101,6290088677.673704
102,3521634840.0092497
103,6783854140.362547
104,5160375483.875245
105,1895529632.470838
106,716924026.2524567
107,909570628.0250586
108,383245630.32828957
109,1021095104.2922555
110,1524517680.2990801
111,1823935568.8095849
112,1770806848.1481476
113,3176671093.611815
114,6169674528.766483
115,8964202861.373549
116,10724977299.621214
117,13481568120.142153
118,13860812281.878855
119,15558661151.604372
120,18425662539.70087
121,20027025614.73546
122,22666613862.399433
123,22549052188.241062
124,22878142566.435886
125,19836446178.55133
126,16445010047.026628
127,15705551823.051754
128,13529358481.712893
129,11660517558.428526
130,11153181383.54083
131,12424315468.179316
132,14645553170.09723
133,17078656722.143698
134,16405113919.5708
135,14550887958.033337
136,11193410202.814074
137,8522686725.030414
138,7456492265.296373
139,8291424619.005323
140,8679227106.301527
141,11266529788.98938
142,13532182644.325256
143,14042501600.44439
144,14723754097.479748
145,14575395472.430246
146,14162087411.835587
147,15053191148.661192
148,15144287905.192444
149,13104967531.542736
150,13055296765.18068
151,15021797009.710474
152,14965440472.839632
153,14085962000.917847
154,14828843051.62091
155,16583791554.278532
156,14346747376.279259
157,12300405579.675922
158,16089935438.00886
159,15171181383.164854
160,13472221144.447512
161,14030200112.014462
162,15565971210.991816
163,13241061237.204103
164,9687510390.41168
165,12736592269.773937
166,9501556482.132814
167,7046001539.848764
168,6536701777.637204
169,6057844555.808165
170,3895352514.2014914
171,2344955765.2334585
172,2302413114.66547
173,2769960998.820861
174,1872236266.732545
175,964233452.8960109
176,1434028791.6233125
177,1227467075.3210156
178,834590440.5006
179,167864302.67214686
180,1099649955.0486221
181,3689540888.931274
182,3130137411.487583
183,1241108372.653639
184,2343532367.791813
185,6124769190.734686
186,6541876611.618722
187,5167934113.005709
188,3638915356.6375165
189,6599727413.559359
190,5038314922.057516
191,1467129962.8202252
192,916644186.1534727
193,638937544.8630123
194,364040702.63114965
195,1226243735.527535
196,1670817256.851395
197,1800025344.0814395
198,1895771183.138733
199,3767844190.2561636
200,6757419436.087894
201,8448356805.829896
202,10836128059.148252
203,13325120635.262226
204,13129046427.618656
205,15666938893.174843
206,17655198347.20654
207,19290686971.69122
208,23127729191.473
209,21595128910.86514
210,21455903770.402596
