,0
0,29056364978.233646
1,9766509233.486452
2,18050889462.43757
3,9630864462.281143
4,6313509079.067032
5,10856981611.730957
6,7888704932.65625
7,26309543477.069466
8,19202374598.62268
9,9886681698.964272
10,8882061591.052021
11,7983666805.334592
12,4893264559.490435
13,8873178489.364319
14,6203401307.087159
15,18419099594.63786
16,9052773290.609497
17,25802041112.595245
18,9989946764.037428
19,13201495412.62962
20,16543701905.349857
21,18252862585.03174
22,29778987372.245182
23,11490372488.239809
24,5613599151.286772
25,11826132107.266232
26,15966714883.237846
27,14497543275.4046
28,23012636734.830627
29,18564234391.39124
30,33437338752.17823
31,12349725993.80011
32,25882708316.04735
33,9675984603.999146
34,5047112281.824721
35,6595402228.936769
36,14342644132.070316
37,31600096826.846935
38,15735651227.491762
39,6335268506.8184185
40,9837332548.222979
41,11825221749.469374
42,8500578825.553529
43,11987374370.01001
44,6098543494.737428
45,14984721187.435595
46,8448063981.708876
47,28842109652.995358
48,15771953867.244055
49,14659308826.500244
50,12622764444.088379
51,13988391458.648678
52,28576931065.47266
53,17802725442.239254
54,6748259533.936095
55,2453604062.322571
56,9115247368.213196
57,15644013070.972656
58,28863477700.78613
59,17578743922.94277
60,33639654930.756725
61,12948149046.310192
62,31644240992.68847
63,14072365390.168758
64,10832596702.591862
65,8380575489.731566
66,15269999052.707825
67,30419287277.189938
68,21876944294.878174
69,9116097361.741026
70,3111721142.7893825
71,6924895040.87207
72,12767009378.662598
73,16564905803.211056
74,9032984116.202944
75,18911503145.122578
76,9466288761.554037
77,24605962531.037903
78,11490268037.874699
79,13804410572.979063
80,18568847071.73036
81,14635645501.763
82,26717190564.55957
83,13850501664.179996
84,4911807645.332354
85,7217566868.25592
86,11445987586.700438
87,4755019411.420182
88,15990192915.525938
89,14167420029.117432
90,37086313398.420715
91,16544142871.053345
92,29464607960.02375
93,14743918214.487606
94,8793090364.564512
95,14559724724.637209
96,18032265588.598774
97,38891699607.57667
98,22896239684.216946
99,8735034202.467833
100,4047596280.466613
101,8440635446.8407135
102,4682470580.305174
103,7228216454.789674
104,11834190895.718384
105,25238131770.806206
106,11839253330.885258
107,19618375272.56988
108,15969363759.335506
109,11335070995.19264
110,18551010218.39948
111,9602640693.972933
112,28737972134.59764
113,10047497234.468998
114,3823591449.6331944
115,5546560916.662553
116,9800105531.248302
117,9223871591.76373
118,17998153827.59923
119,8780403029.926329
120,19264220082.742428
121,14327688183.426283
122,25612140066.688534
123,17938955703.182255
124,12976078752.199478
125,20821466499.895504
126,17589944596.94855
127,43190872281.1035
128,31324738610.333797
129,9505849830.642391
130,7335078361.281206
131,7359293298.806289
132,7529450226.627293
133,9056436446.631523
134,5095435005.210937
135,11925856187.947723
136,12982398827.55421
137,34965943399.86366
138,14520727342.29237
139,18905593380.209503
140,25615260615.950436
141,8320321464.973484
142,23663515728.165413
143,5381748395.4524555
144,3081563798.9687357
145,5925888689.296891
146,8347430632.584536
147,8816375392.220493
148,16929695106.80963
149,15082616915.521788
150,24010527813.75415
151,10267043895.621902
152,16568055039.605959
153,12757499261.355772
154,19263087019.69513
155,33583530620.48485
156,20881758099.43073
157,46462856586.00535
158,27535912963.498344
159,9640752943.468021
160,10461296085.87756
161,10476671224.80786
162,8967035210.133753
163,8694470315.360962
164,10517665196.852356
165,13923044722.70752
166,15922297584.911846
167,8482141973.109837
168,16936940453.891668
169,23616271370.34015
170,43776822553.28613
171,10642884066.949234
172,21111293096.391598
173,3629578259.702778
174,3647215177.2996097
175,6028416977.517213
176,7226458135.610049
177,12024073853.713882
178,14011198001.737919
179,14522786767.665096
180,13502765770.768126
181,31634209151.164356
182,11303069653.70325
183,4947958065.856691
184,5568472662.2157135
185,46547553697.550026
186,31084058742.186832
187,42613089985.80141
188,24032466533.6183
189,12151248781.546154
190,9966158238.347471
191,8324140838.839308
192,11709437011.745377
193,9230767657.534304
194,15226798064.565735
195,11488876697.508055
196,33988672970.81898
197,16249725665.293865
198,5504348863.664856
199,5525544469.2908325
200,35727399231.357666
201,25367365589.167686
202,18149104476.55176
203,4986084597.316287
204,4989452629.294273
205,6275260839.702914
206,6752941831.237547
207,14108944658.28344
208,13437295559.2171
209,20325322200.44776
210,6447857426.932878
211,31818874938.89678
212,13627303945.706297
213,9122349975.642424
214,18107969828.89585
215,23144689292.036682
216,21772847103.10333
217,32594055013.60572
218,18477580420.650383
219,12123110711.603762
220,13325836915.311096
221,7301181007.453371
222,11501648946.960205
223,10282608587.449465
224,20338898273.24463
225,11595808079.626524
226,32866855561.974667
227,17572100189.860916
228,13132674197.077944
229,12285910491.428928
230,13540359882.85469
231,15633787089.551054
232,9000490772.206118
233,8182524658.57843
234,8513797438.163389
235,11774068444.63957
236,8468650043.998348
237,13503154390.053959
238,8297543847.741453
239,25963788364.500984
240,7312001723.648984
241,21552814502.493282
242,8793009629.373167
243,5981746981.62042
244,8611249702.135557
245,18494761053.38244
246,37066691885.31177
247,30426246524.088615
248,9177797399.650208
249,10555879033.261534
250,16966874319.038696
251,11979554391.910906
252,14279911880.493467
253,11195880308.208143
254,26867567082.66753
255,11612278737.611633
256,31607026474.79712
257,15350593823.75709
258,11245750772.34671
259,18761021192.169075
260,12035923925.784975
261,27714776951.438473
262,6643792152.358704
263,1907356467.3336334
264,8576784989.968478
265,14758988304.03095
266,11063698058.992249
267,18519619371.123672
268,11689986161.412594
269,26204098172.863274
270,7999094664.3277
271,19960162505.540848
272,10931477607.270018
273,4616147293.554906
274,8572467934.108046
275,12637733228.982973
276,36682799556.63208
277,28799795401.715076
278,13679673184.739042
279,4128341748.419285
280,8396270307.924696
281,12652109308.996584
282,21270757154.810787
283,13344993553.566404
284,25805931515.09692
285,13091868017.414856
286,28634505100.085197
287,16750065121.96075
288,13116985149.16217
289,19911283883.58227
290,11370852720.669495
291,26891910609.89307
292,10790785409.965088
293,4395201643.394638
294,2496558934.9206843
295,6212189444.909624
296,14146648137.430004
297,21554924434.043476
298,15453909236.512218
299,29628856929.59595
300,9637274987.063982
301,22860742358.83789
302,8287685250.998733
303,5098473831.038146
304,10032153466.566957
305,15350281288.77454
306,31103997512.309578
307,23535940632.08961
308,10827966938.86535
309,10258769378.636549
310,8111025269.230851
311,2809828691.4031096
312,11519170988.938047
313,13514476774.39117
314,27261137303.244625
315,17900901114.129696
316,37797802376.98535
317,23528606471.17315
318,12876351558.250612
319,14783866724.760256
320,17465632425.744267
321,27539997294.535145
322,12969417558.035946
323,4098148116.3825455
324,4999081194.739013
325,8543691596.52321
326,4866492443.1154785
327,13666057945.752007
328,14037616543.697758
329,31374927224.14264
330,8844148799.916014
331,33036406817.976555
332,17527264236.31104
333,6033036309.298195
334,10197737621.739271
335,30669633222.118225
336,26067135808.05786
337,24264533156.625973
338,11699072457.808226
339,4578956611.973891
340,8548119635.139156
341,8408176136.350275
342,8937095500.21515
343,3608517257.603148
344,13602901588.314756
345,15492196155.175049
346,49226298884.29807
347,23072383722.79763
348,13736856149.669935
349,18536652925.03961
350,33827542640.686024
351,17090514020.231258
352,26683399509.20947
353,5019516888.166016
354,3469028015.9841447
355,6167800294.199233
356,6924740647.148709
357,13422214178.064146
358,12562726465.478514
359,8631582858.082273
360,13121224835.153622
361,32975325741.07813
362,12842195364.471329
363,10075101837.750969
364,13090497105.911379
365,37758885061.35358
366,20769326076.2876
367,36460281227.09009
368,22464016231.35156
369,4628019415.089188
370,5929197525.967787
371,6000367549.057713
372,7646471203.639116
373,11139126540.513002
374,10039344659.71118
375,12519404873.258846
376,12137804669.165344
377,31357573578.314453
378,17806384125.185295
379,28337226269.646954
380,35996068771.978745
381,12510340690.499573
382,32146606293.128216
383,10465629744.72443
384,3941478119.4468865
385,8288736089.079224
386,6367516747.313293
387,8494335077.592536
388,15638546883.760067
389,10553239202.900633
390,27489838946.25396
391,4946420975.887588
392,19056427121.65625
393,14093184201.124569
394,8114008240.410536
395,13198565468.019838
396,18626855137.311653
397,35676915123.34472
398,26757068835.37457
399,15357125776.977844
400,7813251591.214173
401,9202954822.171444
402,6534630189.357242
403,9928156345.389736
404,6111785663.050429
405,13925205979.848938
406,10618696684.128237
407,29555719841.30005
408,15305240808.154066
409,19854770011.60968
410,15972302699.1272
411,32844843976.37231
412,27068814971.41723
413,24061842672.424313
414,7305202820.231948
415,5605231705.018827
416,8878393708.113096
417,7557375844.6324005
418,12968012770.490128
419,11148261499.95587
420,15319093327.072327
421,11729066547.090149
422,29821613555.216064
423,5469196815.523986
424,8676338472.39662
425,12176988600.995728
426,46075813891.1223
427,24551780036.53223
428,38668002963.85351
429,19569786226.911926
430,9310762674.204102
431,8343578678.355959
432,8849636002.971985
433,9348445142.888874
434,9428639134.567476
435,7338255117.613966
436,15910423498.785217
437,10645983035.080383
438,27100381164.92602
439,7663336446.629917
440,12662413278.21838
441,29644772567.798893
442,14279793588.004395
443,37282610013.638916
444,13120962583.120176
445,5954534146.4680805
446,10069768663.059814
447,10956173383.75661
448,9985758422.172073
449,16251146694.278568
450,10172550685.52002
451,28190587027.391663
452,5090361638.694472
453,22481726961.26739
454,12716960761.129148
455,4690934566.580703
456,3085494317.258576
457,25730440168.8084
458,35818623531.099846
459,31343168032.93676
460,18088406420.57598
461,8513715432.377444
462,9880427372.51007
463,5480791843.942032
464,10481952771.395632
465,9090457673.560074
466,14619689528.157284
467,10029070141.153322
468,31632355992.646084
469,14613606108.20737
470,13648864719.501223
471,10404617042.603334
472,24809225203.45848
473,11206330756.550222
474,22639407357.8125
475,8752144439.76343
476,6381012099.866335
477,10237369951.993713
478,9463850509.991837
479,12826352066.418459
480,19433488715.49438
481,16776901331.184143
482,16608249457.282772
483,17636853705.28351
484,19308569469.061783
485,5484765866.4419565
486,11432367151.283262
487,26931533709.12719
488,12077472537.750797
489,30612245853.08838
490,26977519344.56167
491,8937674876.603653
492,10694572842.321789
493,9824839177.848873
494,8935698844.301245
495,11605367995.985168
496,8962859882.096636
497,21908183202.897575
498,10680587713.094065
499,20589521447.005383
500,12134333390.958994
501,11960790567.82031
502,22419820064.980606
503,10064659593.225481
504,22773888723.06545
505,4811238206.723419
506,6438372402.77423
507,10138469255.57707
508,15718706383.104004
509,12186395343.983168
510,16439938888.002008
511,15957168446.607666
512,30737263788.19581
513,10057046332.51294
514,30065097096.67626
515,14094681354.488903
516,5568435416.321838
517,9865904019.252892
518,24864607599.40533
519,28465438064.75685
520,29010744979.669838
521,11415162459.425148
522,7936037854.481217
523,15667805516.030392
524,10051303259.102493
525,12166481502.6604
526,8280878988.496703
527,15871861901.951231
528,12798004495.80102
529,34640638452.07916
530,16580016615.91054
531,13080589048.842102
532,10002657137.969486
533,27227225829.354244
534,13550273159.365614
535,20579192905.928776
536,2660293078.3745418
537,2084715401.7510521
538,9788352224.760803
539,14240401672.731092
540,19372024195.415916
541,22306304547.023926
542,22211170484.379696
543,18313859993.90899
544,29359492408.289127
545,15748892441.64215
546,8901630144.619646
547,11928540098.697708
548,26503823207.607918
549,15281714765.086914
550,45397270218.565674
551,24858223004.969353
552,6783047387.977359
553,3226016304.1417236
554,12214816326.228163
555,15492171940.772472
556,16737578193.63922
557,12334790541.8916
558,20113909711.866756
559,11555250700.489803
560,24073551208.541252
561,12930839958.31276
562,18867702252.97311
563,28789404067.77838
564,6516061703.073672
565,22523280041.05962
566,4260524115.4544826
567,4096783158.032867
568,4362748245.091934
569,3463521605.4875517
570,15285270622.774044
571,27228266180.175365
572,18309086291.735348
573,34414171369.44458
574,15691410219.1275
575,27667275854.242245
576,12441773929.999266
577,7058959243.151627
578,16796056112.961245
579,14310446895.269772
580,36160828176.28539
581,26866786282.955093
582,13365854567.43286
583,9491642619.907227
584,6519978745.178605
585,3997874454.3001738
586,15107252253.888916
587,13138346348.233215
588,25929652901.665337
589,13187393836.634415
590,30310025621.697033
591,17729170333.051075
592,10189172135.078995
593,12694665043.400295
594,20019700133.920055
595,23384463228.632828
596,10430236262.318905
597,4185731195.583648
598,3477453471.7641954
599,7585547725.815735
600,7166554506.220033
601,10516531935.286634
602,11155845970.74661
603,32890423649.181038
604,11616777233.749084
605,42023299241.887695
606,20489011449.382816
607,7297643946.586579
608,21112261679.85708
609,35492751451.996635
610,30279692151.804504
611,35395453443.079094
612,15554254236.8427
613,6200269457.102298
614,7128410240.77301
615,6764370153.106582
616,4649073200.618668
617,3838770742.056962
618,16751968491.0039
619,17164437054.498287
620,44891503747.6233
621,18226681651.971924
622,13809885861.276428
623,12460667549.726196
624,22945141629.96983
625,16440843255.198486
626,17433000960.813477
627,3656479375.7771034
628,3788978967.7453046
629,6362599272.141983
630,6841334940.730608
631,12112255785.856688
632,8968295364.132812
633,9542228541.479794
634,9261167723.359148
635,40875278567.0686
636,14304615116.865295
637,12922539209.37422
638,15523539752.666256
639,46405014120.386955
640,29529588383.219727
641,48095192999.33088
642,26093335567.109833
643,6479161100.798826
644,6716514958.899305
645,7526631698.848934
646,7590230043.253175
647,9342209584.968891
648,9373097505.931534
649,8444594123.70123
650,27451065896.65283
651,22775338686.936153
652,11843299201.486433
653,18454316874.34789
654,35400522648.11464
655,7371065645.567702
656,24465408524.498592
657,2462777362.8655543
658,3267333414.608841
659,6347426722.968847
660,6222237293.826232
661,10065988371.346008
662,15034012026.692474
663,9765987925.929995
664,12326745766.591858
665,10158541658.298828
666,21254985342.501587
667,13039842246.56076
668,18219981734.12433
669,30761709754.134766
670,24873818377.50392
671,43351219213.09214
672,33706880281.62944
673,16862338736.155945
674,9471389265.278946
675,8401087375.747072
676,8298423928.867383
677,11832778228.032228
678,8747863267.201231
679,18046848516.47656
680,5652004714.453369
681,19913191184.016983
682,18947436627.89381
683,21587801244.76204
684,26163026566.807125
685,11747273959.651072
686,25076855452.530518
687,6412160903.81105
688,2798382022.7656255
689,3164794247.468265
690,9278309715.05688
691,11544931488.331663
692,12233165150.489395
693,9372589951.203682
694,26031094965.97656
695,7655967626.6917095
696,14355122526.291811
697,5677975859.776218
698,10869935125.858465
699,17085836696.510254
700,23018971989.823788
701,41465300909.7992
702,35464193717.707825
703,19216134856.954876
704,10959580604.092651
705,14940301911.102839
706,7347977970.470363
707,11405495160.409302
708,8103895384.553224
709,17999065499.14868
710,10598067389.734146
711,27072525471.46606
712,9007342846.638075
713,15403570645.170465
714,17945025199.379967
715,24494640350.393856
716,25942815309.431705
717,12994598218.06946
718,5351474622.827532
719,3983118532.5736017
720,7860256981.824364
721,7551390736.65968
722,13269369888.30353
723,9769497663.929163
724,20775583571.059345
725,6417394188.22931
726,32730343551.588505
727,15005754808.683165
728,3090805910.727004
729,4361376477.251099
730,41914026875.06348
731,36764256469.79786
732,37952664421.64269
733,20616670366.521515
734,9621518642.352354
735,14441651229.393206
736,9368844800.822083
737,13475846729.725645
738,11487547837.94227
739,15244528631.565733
740,11195764508.837158
741,31868918692.003475
742,11755560189.879395
743,8308414250.538466
744,7405792973.211732
745,40307824947.75125
746,16905821763.492426
747,24795856812.776615
748,5502256224.542509
749,3978951854.7877517
750,7470249526.855973
751,4873911217.05226
752,11478327614.536436
753,16242222542.514132
754,8958450189.554745
755,11470020378.918516
756,21706092630.679935
757,11257004894.537357
758,8186216973.932558
759,11430979191.90625
760,22804308470.266605
761,15170422207.834288
762,41251349218.495346
763,28177840711.65259
764,10742028488.376133
765,11626105303.456251
766,11165296256.02014
767,11800217261.741512
768,13882169676.423946
769,13907501819.18756
770,21061247684.27155
771,11007437172.535597
772,23554294755.598877
773,11269007537.982853
774,20056820039.516605
775,17650372938.788147
776,4115805312.551232
777,27246716650.894775
778,6800758871.236388
779,5430128125.2851095
780,6202628918.001037
781,7774956145.457165
782,8217452331.303832
783,14915452188.37322
784,10768364437.70752
785,28734359015.062553
786,6948376086.108644
787,16475040939.684196
788,8098722112.19966
789,5530585993.769044
790,10579978216.854548
791,17087678746.232914
792,28150240802.81288
793,23693585805.017582
794,14275902066.567152
795,11754211888.380676
796,14883140641.091616
797,8923470140.498308
798,13955615963.96002
799,11284459025.491453
800,23718409600.33324
801,12931385163.203129
802,34449308713.3208
803,16894658899.302
804,10908376455.346714
805,9341718901.107698
806,21635205228.751106
807,16911516452.717037
808,6710722007.923889
809,5769454345.322512
810,5756695998.551813
811,9634135133.82702
812,8675957676.77539
813,12806703069.094378
814,12850140794.407045
815,20704037262.56739
816,11125735350.344055
817,30236950577.602528
818,8931847813.356754
819,4805040419.625977
820,9755240245.488663
821,39419900634.44141
822,24130648847.25976
823,38532251468.04517
824,15997019615.802399
825,6312888129.994627
826,13507711589.847715
827,12921175816.50421
828,13454920260.950745
829,13845704503.144655
830,15461542009.420475
831,20255899286.278564
832,27260352782.27832
833,20005362952.172913
834,8641826527.296427
835,11262688262.475962
836,33540332689.403423
837,7402258101.343155
838,24884689134.11254
839,2022079896.6751857
840,3819981082.93805
841,8253927495.770972
842,11313340989.166397
843,9230296528.996103
844,18058207991.874084
845,10031405379.017105
846,22622698343.160397
847,10149511005.775879
848,22684804967.302982
849,11620261737.561098
850,7521744950.181044
851,12884478727.827456
852,12273166770.926348
853,34325512822.304924
854,34517320323.37125
855,11444549399.099367
856,4561420101.746536
857,14461335898.333069
858,13705948465.041079
859,17470939342.594727
860,12271743514.680666
861,24476217822.812565
862,14845304330.730957
863,32851854898.052963
864,18220389046.427982
865,16391514473.726625
866,14735832806.847122
867,14862341370.295414
868,22099404280.485165
869,11121248081.959105
870,4580320650.964977
871,1059425543.7963686
872,9794534352.174696
873,13272091711.350115
874,18267001649.934273
875,14513624632.68812
876,22275232854.24648
877,7620966446.540967
878,29495596237.653313
879,14617551665.470478
880,7589382058.527284
881,11779931063.227596
882,31976755669.890762
883,25642879267.521976
884,33470602794.78737
885,17097896862.82257
886,6951074046.620884
887,7313039988.956067
888,7070659628.475994
889,17506180016.49054
890,16362424267.789368
891,23506087231.406246
892,16799489844.568254
893,40493519719.10399
894,15209631880.838135
895,12255865286.757446
896,17096644788.167313
897,35204631895.55005
898,14046037404.069094
