,0
0,37532910880.902565
1,26091951537.593063
2,14330292010.643791
3,12599839478.464855
4,26042713656.12823
5,25312985479.435795
6,40197436463.93493
7,44394068652.86137
8,53157607437.079384
9,44864109925.78539
10,38209195206.97777
11,18594888735.221935
12,18797090260.77129
13,27099001437.548817
14,35276461866.16284
15,35505277265.1016
16,19893426420.235886
17,22088681244.801746
18,18222537392.389214
19,14485520956.764294
20,14784128000.52789
21,21639775894.82154
22,19243382913.546135
23,24221599834.761032
24,31891248767.94658
25,37787939637.34886
26,42061983581.95432
27,39598893030.08524
28,36607828443.15551
29,29028663071.76958
30,35101236382.0667
31,26273638393.863518
32,16796372083.459244
33,31928517812.841106
34,28175590904.729298
35,23552005202.103752
36,20465108882.09692
37,7814081676.714508
38,16436901652.129393
39,23226492256.14287
40,54772690406.36131
41,35799500641.23815
42,28254064444.01978
43,22423670501.759724
44,20767651557.647346
45,23657428131.0359
46,33898075939.301983
47,34169735845.417526
48,20139713241.40337
49,23329327026.821274
50,19491563528.385975
51,19540068952.66265
52,24315395171.67284
53,25191887830.73926
54,30621144191.89043
55,30650818845.950184
56,22485178165.660694
57,25449781118.064022
58,35629083510.46704
59,30250269885.305653
60,34143669291.562733
61,48231893465.79881
62,34514026637.35278
63,39267596780.02301
64,25629403789.825417
65,21525466222.378902
66,34336519708.918514
67,42215303814.26544
68,48881565770.68968
69,25247408343.07035
70,15700373288.297361
71,18032912683.257275
72,19224954174.66988
73,42972185402.88257
74,41192638522.20221
75,21093180776.530033
76,27195950827.450428
77,32846355493.041145
78,33249037182.307842
79,36762947843.965324
80,20695297446.441944
81,22480266439.55565
82,20807849090.34424
83,17009451423.715082
84,12883297056.559626
85,13390016616.431692
86,17692688845.422104
87,22866639473.466766
88,26954033551.473194
89,33066688907.18054
90,27064562608.189087
91,19228109959.513977
92,29764267794.742413
93,39634655962.87889
94,35485156641.15722
95,46638901323.02885
96,27210810250.93578
97,35594405217.174065
98,29846024557.347897
99,18324348595.16723
100,28850286509.814438
101,28613754201.361366
102,42802253977.72581
103,36917287015.76666
104,21155636143.780815
105,18437595690.909496
106,16252824923.010248
107,16619468001.816847
108,24448258848.155506
109,26836666866.62725
110,42523298329.336945
111,39814565731.076416
112,21626795980.19927
113,24276638704.795944
114,25880043198.450005
115,19706601261.281544
116,16680051435.839111
117,19395612677.47069
118,21807191223.501266
119,28251699997.668026
120,28603111703.599842
121,30734216466.317436
122,38525489872.35975
123,29785346695.869427
124,26944698603.79546
125,26493127075.150513
126,33402168460.891838
127,41429886514.15873
128,31804055560.45854
129,41617336839.03911
130,31382247535.197247
131,36412857197.61651
132,35339852186.45611
133,23866306242.462948
134,35526133509.35471
135,51875891800.44706
136,32745247378.08203
137,35329378628.64086
