Sector,Window,Selection,Regression,Scale,Response,Lag,Variable,Target,Goal,Method,Feature,In-AUC,In-Brier,In-LL,Out-AUC,Out-Brier,Out-LL
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,logistic,none,0.5918,0.1685,0.5181,0.3245,0.2049,0.7797
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,logistic,lasso,0.5918,0.1685,0.5181,0.3245,0.2049,0.7797
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,logistic,lasso_company,0.5918,0.1685,0.5181,0.3245,0.2049,0.7797
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,logistic,lasso_day,0.5918,0.1685,0.5181,0.3245,0.2049,0.7797
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,asym logistic,none,0.5924,0.2368,0.6654,0.3327,0.2665,0.8062
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,asym logistic,lasso,0.5924,0.2368,0.6654,0.3327,0.2665,0.8062
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,asym logistic,lasso_company,0.5924,0.2368,0.6654,0.3327,0.2665,0.8062
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,asym logistic,lasso_day,0.5924,0.2368,0.6654,0.3327,0.2665,0.8062
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,xgboost,none,1,0.0086,0.0722,0.6497,0.2115,0.721
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,xgboost,lasso,1,0.0086,0.0722,0.6497,0.2115,0.721
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,xgboost,lasso_company,1,0.0086,0.0722,0.6497,0.2115,0.721
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,explain,xgboost,lasso_day,1,0.0086,0.0722,0.6497,0.2115,0.721
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,logistic,none,0.5958,0.1653,0.5112,0.2632,0.209,0.8629
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,logistic,lasso,0.5958,0.1653,0.5112,0.2632,0.209,0.8629
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,logistic,lasso_company,0.5958,0.1653,0.5112,0.2632,0.209,0.8629
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,logistic,lasso_day,0.5958,0.1653,0.5112,0.2632,0.209,0.8629
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,asym logistic,none,0.599,0.2324,0.6559,0.2722,0.2703,0.8673
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,asym logistic,lasso,0.599,0.2324,0.6559,0.2722,0.2703,0.8673
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,asym logistic,lasso_company,0.599,0.2324,0.6559,0.2722,0.2703,0.8673
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,asym logistic,lasso_day,0.599,0.2324,0.6559,0.2722,0.2703,0.8673
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,xgboost,none,1,0.0069,0.0632,0.6566,0.2086,0.7219
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,xgboost,lasso,1,0.0069,0.0632,0.6566,0.2086,0.7219
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,xgboost,lasso_company,1,0.0069,0.0632,0.6566,0.2086,0.7219
Cap,63,dynamic,quantile,daily,MI,21,frm,recession,predict,xgboost,lasso_day,1,0.0069,0.0632,0.6566,0.2086,0.7219
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,explain,logistic,none,0.8497,0.1198,0.3768,0.512,0.2254,0.9832
Cap,63,dynamic,quantile,daily,MI,21,lambda_j,recession,explain,logistic,lasso,0.7519,0.1408,0.4419,0.4341,0.213,0.8983
